Item Name,Description,Mfg Part #,Category,Rate,Item Type
FP1-9X19,FP1-9X19 Pleated Filter,,Material:Filters,0.00000,Inventory
FP1-9X24,FP1-9X24 Pleated Filter,,Material:Filters,0.00000,Inventory
FP1-9X42,FP1-9X42 Pleated Filter,,Material:Filters,63.65000,Inventory
FP2-11.5X13.5,FP2-11.5X13.5 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-11.5X15.5,FP2-11.5X15.5 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-12X16,FP2-12X16 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-12X24,FP2-12X24 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-13X16,FP2-13X16 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-14X14,FP2-14X14 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-14X17.5,FP2-14X17.5 Pleated Filter,,Material:Filters,44.94000,Inventory
FP2-14X20,FP2-14X20 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-14X24,FP2-14X24 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-14X25,FP2-14X25 Pleated Filter,,Material:Filters,47.83000,Inventory
FP2-15.5x19.5,FP2-15.5X19.5 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-15X20,FP2-15X20 Pleated Filter,,Material:Filters,26.94000,Inventory
FP2-16X16,FP2-16X16 Pleated Filter,,Material:Filters,34.68000,Inventory
FP2-16X18,FP2-16X18 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-16X20,FP2-16X20 Pleated Filter,,Material:Filters,26.34000,Inventory
FP2-16X22,FP2-16X22 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-16X24,FP2-16X24 Pleated Filter,,Material:Filters,29.22000,Inventory
FP2-16X25,FP2-16X25 Pleated Filter,,Material:Filters,30.82000,Inventory
FP2-16X28,FP2-16X28 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-18X20,FP2-18X20 Pleated Filter,,Material:Filters,47.83000,Inventory
FP2-18X24,FP2-18X24 Pleated Filter,,Material:Filters,32.10000,Inventory
FP2-18X25,FP2-18X25 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-18X30,FP2-18X30 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-20X20,FP2-20X20 Pleated Filter,,Material:Filters,27.90000,Inventory
FP2-20X21.5,FP2-20X21.5 Pleated Filter,,Material:Filters,49.43000,Inventory
FP2-20X24,FP2-20X24 Pleated Filter,,Material:Filters,33.36000,Inventory
FP2-20X25,FP2-20X25 Pleated Filter,,Material:Filters,33.06000,Inventory
FP2-20X26,FP2-20X26 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-20X28,FP2-20X28 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-20X30,FP2-20X30 Pleated Filter,,Material:Filters,55.85000,Inventory
FP2-20X35,FP2-20X35 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-22x24,FP2-22x24 Pleated Filter,,Material:Filters,88.22000,Inventory
FP2-24.5X28,FP2-24.5X28 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-24X24,FP2-24X24 Pleated Filter,,Material:Filters,34.68000,Inventory
FP2-24X28,FP2-24X28 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-24X30,FP2-24X30 Pleated Filter,,Material:Filters,0.00000,Inventory
FP2-25X25,FP2-25X25 Pleated Filter,,Material:Filters,53.80000,Inventory
FP2-30X36,FP2-30X36 Pleated Filter,,Material:Filters,0.00000,Inventory
FP4-12X24,FP4-12X24 Pleated Filter,,Material:Filters,0.00000,Inventory
FP4-16X20,FP4-16X20 Pleated Filter,,Material:Filters,0.00000,Inventory
FP4-16X25,FP4-16X25 Pleated Filter,,Material:Filters,0.00000,Inventory
FP4-20X20,FP4-20X20 Pleated Filter,,Material:Filters,0.00000,Inventory
FP4-20X24,FP4-20X24 Pleated Filter,,Material:Filters,0.00000,Inventory
FP4-20X25,FP4-20X25 Pleated Filter,,Material:Filters,57.46000,Inventory
FP4-24X24,FP4-24X24 Pleated Filter,,Material:Filters,53.23000,Inventory
FP5-20X25,FP5-20X25 Pleated Filter,,Material:Filters,0.00000,Inventory
FP5-21X26,FP5-21X26 Pleated Filter,,Material:Filters,0.00000,Inventory
FPOLY1,"Poly Filter 1""x 25"" x 90 ft. (running Foot) 4wz70 Blue Poly",,Material:Filters,6.70000,Inventory
FPOLY2,"Poly Filter 2""x25"" (running Foot)",,Material:Filters,0.00000,Inventory
FPVP87,"Fieldpiece VP87 Vacuum Pump – 8 CFM, ¾ HP DC Motor, Run Quick Oil Change System – Portable - Professional HVAC Tool - A2L Compatible",,Material,0.00000,Non Inventory
FREIGHT,STANDARD FREIGHT CHARGE FOR SHIPPING,,Material,0.00000,Non Inventory
FRESH AIR FILTER SPECIAL ORDER,ALUMINUM CUSTOM FRESH AIR MESH AIR FILTERS SPECIAL ORDER,,Material,0.00000,Inventory
FSE1C,SPORLAN FSE1C 1 ??? R404A TX VALVE 3X4 SEA,,Material:Filters,0.00000,Inventory
FTXC12AXVJU,DAIKIN FTXC12AXVJU 1 TON WALL MOUNTED AIR HANDLER 208/230/1,,Equipment,821.44000,Inventory
FTXC24AXVJU,DAIKIN FTXC24AXVJU 2T 18SEER R32 HP MS EVAP,,Equipment,1051.05000,Inventory
FTXF18BVJU9,"18,100 BTU Oterra Ductless 1 Zone Mini Split Air Conditioner & Heat Pump, Energy Star, R-32 (Indoor Unit)",,Equipment,1336.53000,Inventory
FV-0511VKS2,"Panasonic Whisper Green Select Dual Speed Ceiling Mount Exhaust Fan, Customizable, 30 to 110 CFM, FV-0511VKS2",,Material,572.42000,Inventory
FV-MSVK1,"Panasonic Smart Action Motion Sensor Module for Whisper Green Select Exhaust Fan, FV-MSVK1",,Material,115.52000,Inventory
G5B7UDDUP2,DOOR GASKET for Styleline 01R3-SNAA-NL-SHBR 115883-1-1-2,,Material:Refrigeration,581.48000,Inventory
