Customer,WO #,Invoice #,Date,Due Date,Total,Balance,Invoice Pay Status,WO Description,Summary
6767 N Ocean Blvd.,2079,i1979,2026-05-11 12:00 AM,2026-06-10 12:00 AM,0.00,0.00,NON-BILLABLE,FILTER CHANGE FOR MAY 2026/\CR,"FILTER CHANGE FOR MAY 2026/\CRMaintenance completed by Gabriel/Pablo.\CRCleared drain lines, cleaned drain pans, changed filters, and checked all electric"
6767 N Ocean Blvd.,2050,i1985,2026-04-30 12:00 AM,2026-05-30 12:00 AM,0.00,0.00,NON-BILLABLE,HOUSE #15-NORTHEND-NEED TO CHECK UNIT IS WORKING/,HOUSE #15-NORTHEND-NEED TO CHECK UNIT IS WORKING/ \CRUnit is cooling well with a TD of 19 everything looks good and nothing out of the ordinary.
6767 N Ocean Blvd.,2059,i1987,2026-04-27 12:00 AM,2026-05-27 12:00 AM,0.00,0.00,NON-BILLABLE,HOUSE #15-SOUTH END AREA-MASTER BEDROOM-NOT COOLING/,HOUSE #15-SOUTH END AREA-MASTER BEDROOM-NOT COOLING/\CRUpon arrival found thermostat was calling for 73 but it was 77. Checked air handler and it had go
6767 N Ocean Blvd.,2163,i2085,2026-05-18 12:00 AM,2026-06-17 12:00 AM,0.00,0.00,NON-BILLABLE,HOUSE #5-A/C NOT WORKING/\CRLori called it in/Housekeeper there and said it was very warm.,"HOUSE #5-A/C NOT WORKING/\CR#5 system off on flow switch, emergency pan full of water. Vacuumed water out. System is working properly at this time. \CR"
6767 N Ocean Blvd.,2167,i2140,2026-05-22 12:00 AM,2026-06-21 12:00 AM,0.00,0.00,NON-BILLABLE,HOUSE #13-NEED TO REPLACE DAMPER MODULE/\CRThis was found during maintenance. See work order #2079\CRNo charge per Robert/under warranty.,"HOUSE #13-REPLACED DAMPER MODULE/\CR05/18/2026\CR#13 remove damper control.\CR05/22/2026\CRReplaced damper module, all the zones are working properly."
6767 N Ocean Blvd.,2307,i2190,2026-06-16 12:00 AM,2026-07-16 12:00 AM,0.00,0.00,NON-BILLABLE,"HOUSE #12-A/C SET FOR 88 AND READING 77, ALSO FOUND THE FAN ON ""ON"" INSTEAD OF ""AUTO""/\CRLori placed the call.\CR\CR","HOUSE #12-A/C SET FOR 88 AND READING 77, ALSO FOUND THE FAN ON ""ON"" INSTEAD OF ""AUTO""/\CRChecked thermostat and found that the thermostat had a programm"
6767 N Ocean Blvd. - 1010,2002,i1923,2026-04-09 12:00 AM,2026-05-09 12:00 AM,320.01,320.01,OVERDUE,Paid HOUSE #9-MASTER BEDROOM AREA-TSTAT NOT WORKING/\CRLori placed the call.\CRPaid ck #8685 on 04/23/2026.,"HOUSE #9-MASTER BEDROOM AREA-TSTAT NOT WORKING/\CRReplaced bad thermostat, with a T6 Pro. Set it as non-programable. System is running and cooling at th"
Abreu Wanda,2296,i2181,2026-06-13 12:00 AM,2026-07-13 12:00 AM,100.00,100.00,DUE,A/C-NOT COOLING/\CR,"A/C-NOT COOLING/\CRFound the capacitor weak and swap it out, unit is working at this time."
"""Aleksiejuk, Lukasz""",2153,i2061,2026-05-19 12:00 AM,2026-06-18 12:00 AM,250.00,250.00,OVERDUE,2-UNITS-NOT COOLING ALSO THEY WANT THE UNITS CLEANED/,"2-UNITS-NOT COOLING ALSO THEY WANT THE UNITS CLEANED/\CR05/14/2026-Checked both systems, main house a/c was completely frozen. Left the system off with"
"""Aleksiejuk, Lukasz""",2239,i2118,2026-06-01 12:00 AM,2026-07-01 12:00 AM,0.00,0.00,NON-BILLABLE,INDEPTH A/C MAINTENANCE FOR MAY 2026/\CRThis was the 1st maintenance/had to create due to setting up the contract in a different month.,"INDEPTH A/C MAINTENANCE FOR MAY 2026/\CRMaintenance completed by Gabriel. \CRCleared the drain lines, cleaned the drain pans, changed filters and checked"
"""Aleksiejuk, Lukasz""",2243,i2122,2026-06-02 12:00 AM,2026-07-02 12:00 AM,1100.00,1100.00,OVERDUE,Planned Service Agreement Yearly Invoice. \CR3 a/c systems \CR,Planned Service Agreement Yearly Invoice. \CR3 a/c systems \CR
"""Aleksiejuk, Lukasz & Marta""",1849,i1780,2026-03-05 12:00 AM,2026-04-04 12:00 AM,1822.55,0.00,PAID,"INSTALLATION DETAILS 1- Lennox 2ton single stage a/c system w/ 4kw electric heat. Rated at a 16.0 SEER2 @ 23,800 BTU/hr. \CRRemove & dispose of the exis",Installed 2-ton split system for Master Bedroom and started up system cooling normal at this time.
"""Aleksiejuk, Lukasz & Marta""",2159,i2060,2026-05-19 12:00 AM,2026-06-18 12:00 AM,0.00,0.00,NON-BILLABLE,NEW UNIT NOT HOLDING PROPER TEMPERATURE/\CRNo charge per Robert.,"NEW UNIT NOT HOLDING PROPER TEMPERATURE/\CR5/19/2026\CRSystem is working well with 20 degrees TD. the problem is the thermostat, it has 4 degrees differen"
Allisons Beach House LLC,2052,i2198,2026-06-18 12:00 AM,2026-07-18 12:00 AM,397.60,397.60,DUE,Paid PERFORM A/C MAINTENANCE/\CRPaid ck #287 on 06/26/2026.,"PERFORM A/C MAINTENANCE/ \CRMaintenance completed. Vacuumed drain line, put pan tabs, and checked condenser. Found that the condenser coil is leaking, y"
"""Allyn, William""",2194,i2096,2026-05-27 12:00 AM,2026-06-26 12:00 AM,15168.00,15168.00,OVERDUE,"Paid INSTALLATION OF COMPLETE SYSTEM, 2 THERMOSTATS AND 1 REME HALO/\CRPaid ck#695 on 5/27/2026 Paid in Full. Processed ck on 6/3/2026","INSTALLATION OF COMPLETE SYSTEM, 2 THERMOSTATS AND 1 REME HALO"
"""Allyn, William""",2409,i2281,2026-07-06 12:00 AM,2026-08-05 12:00 AM,95.00,95.00,DUE,Paid MASTER BEDROOM-NOT COOLING/\CRPaid by cc on 7/7/2026   CC: 3717 006 77333 003 Exp: 11/27 Code: 9167 same billing address \CR,"MASTER BEDROOM-NOT COOLING/\CRFond drain line was draining slowly, causing the over flow switch to trip. Purged the drain line, added chemical solvent,"
